Date,Open,High,Low,Close,Adj Close,Volume
1/17/2013,30040,30040,29000,29380,23230.23633,20236700
1/18/2013,29600,29740,29100,29600,23404.19141,12516600
1/21/2013,29280,29500,28960,29080,22993.03125,14519650
1/22/2013,28900,29740,28900,29600,23404.19141,11947400
1/23/2013,30000,30040,29460,29460,23293.49023,9293550
1/24/2013,29360,29380,28820,29060,22977.21875,15999050
1/25/2013,29200,29220,28100,28340,22407.92773,21795250
1/28/2013,27920,28020,27420,27440,21696.31641,30852150
1/29/2013,27800,28360,27600,28180,22281.41992,21616550
1/30/2013,28520,28800,28240,28800,22771.64648,16170100
1/31/2013,28600,28960,28440,28960,22898.14648,16052800
2/1/2013,29200,29200,28440,28820,22787.45898,11576200
2/4/2013,29000,29060,28340,28740,22724.19922,12861900
2/5/2013,28300,28860,28280,28700,22692.57422,11388100
2/6/2013,28800,28860,28540,28540,22566.06836,6897150
2/7/2013,28780,28780,28400,28400,22455.36719,9721100
2/8/2013,28360,29400,28300,29240,23119.53906,13423850
2/12/2013,29680,29680,29180,29360,23214.42383,8419750
2/13/2013,29480,29780,29120,29740,23514.88281,9209050
2/14/2013,29800,29880,29540,29800,23562.32617,7534100
2/15/2013,29800,29960,29540,29960,23688.82617,7599950
2/18/2013,29800,30020,29620,29800,23562.32617,7109950
2/19/2013,29600,29980,29580,29840,23593.95508,6132250
2/20/2013,30040,30900,29940,30900,24432.07617,18039350
2/21/2013,30800,31160,30700,31000,24511.14648,13123650
2/22/2013,30600,30960,30400,30600,24194.86719,13852650
2/25/2013,30980,30980,30600,30600,24194.86719,8897550
2/26/2013,30300,30760,30160,30540,24147.43164,9244750
2/27/2013,31180,31180,30380,30540,24147.43164,8938200
2/28/2013,30600,31080,30600,30880,24416.26172,12784200
3/4/2013,31260,31260,30600,30780,24337.19336,13276850
3/5/2013,31120,31280,30960,31000,24511.14648,9294600
3/6/2013,31440,31500,30940,31200,24669.27539,10148650
3/7/2013,30960,31000,30240,30400,24036.73242,13482700
3/8/2013,30300,30340,29780,29980,23704.64258,18941000
3/11/2013,29860,30240,29700,30160,23846.97266,13748250
3/12/2013,30080,30240,29800,29880,23625.57422,8746550
3/13/2013,30120,30580,30020,30540,24147.43164,11303550
3/14/2013,30560,30680,29980,30400,24036.73242,12557800
3/15/2013,30580,30580,29600,29600,23404.19141,36618350
3/18/2013,29200,29200,28680,28900,22850.70898,26439550
3/19/2013,29000,29840,28960,29500,23325.11914,13977100
3/20/2013,29200,29700,29120,29200,23087.91406,13515750
3/21/2013,29220,29480,29120,29140,23040.47266,11768550
3/22/2013,29160,29360,29040,29100,23008.8457,10687100
3/25/2013,29600,29900,29400,29900,23641.39258,10272050
3/26/2013,29900,30440,29820,30180,23862.78906,16830000
3/27/2013,30300,30320,29740,30080,23783.71484,12881400
3/28/2013,30060,30200,29940,30200,23878.5957,7989600
3/29/2013,30480,30640,30340,30540,24147.43164,9533700
4/1/2013,30700,30700,30240,30240,23910.22266,5295500
4/2/2013,30200,30640,30200,30500,24115.80273,8574850
4/3/2013,30520,30560,30180,30420,24052.55078,10882700
4/4/2013,30340,30380,29980,30120,23815.33789,10700450
4/5/2013,30100,30320,29860,30100,23799.5332,14977350
4/8/2013,30100,30620,29940,30400,24036.73242,12959500
4/9/2013,30540,30600,30200,30560,24163.24414,9244000
4/10/2013,30800,30800,30260,30420,24052.55078,11779700
4/11/2013,30420,30800,30360,30800,24353.00977,11291500
4/12/2013,30800,31000,30260,30340,23989.29297,10744050
4/15/2013,30060,30700,30060,30460,24084.16992,10767300
4/16/2013,30100,30640,30020,30560,24163.24414,18551850
4/17/2013,31320,31320,30280,30360,24005.10156,10491100
4/18/2013,30400,30440,29620,29660,23451.625,13358400
4/19/2013,29300,29840,29100,29500,23325.11914,15704000
4/22/2013,29800,30060,29300,30060,23767.90039,9335850
4/23/2013,30000,30060,29480,29660,23451.625,8864850
4/24/2013,29700,29880,29480,29720,23499.07227,10086550
4/25/2013,29400,29880,29400,29880,23625.57422,10463900
4/26/2013,29900,29940,29440,29720,23499.07227,11651600
4/29/2013,29820,29840,29500,29620,23420,8500150
4/30/2013,29800,30600,29760,30400,24036.73242,18705000
5/2/2013,30520,30640,30340,30560,24163.24414,10048950
5/3/2013,30700,30740,30420,30700,24273.93555,6559050
5/6/2013,30800,30800,30240,30280,23941.84961,8654300
5/7/2013,30160,30160,29820,29860,23609.76172,11434500
5/8/2013,29860,29960,29580,29760,23530.69922,14921950
5/9/2013,29800,30400,29780,30300,23957.66992,10806150
5/10/2013,30280,30280,29520,29520,23340.93555,11794850
5/13/2013,29420,29600,29240,29540,23356.74805,8750100
5/14/2013,29740,30000,29660,30000,23720.46289,9002650
